Periodo,Problema,Título,Data,Link
25/03/2024,alimento,"Pizza, carne, enlatados e até ovos: 300 kg de alimentos impróprios para consumo são aprendidos em supermercado de Juiz de Fora",23/04/2024 11:29,https://g1.globo.com/mg/zona-da-mata/noticia/2024/04/22/pizza-carne-enlatados-e-ate-ovos-300-kg-de-alimentos-improprios-para-consumo-sao-aprendidos-em-supermercado-de-juiz-de-fora.ghtml
25/03/2024,aumento,"Cesta básica tem aumento de 2,77% nos supermercados de Presidente Prudente",26/04/2024 14:58,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2024/04/26/cesta-basica-tem-aumento-de-277percent-nos-supermercados-de-presidente-prudente.ghtml
25/03/2024,produto,"Mais de 1,6 mil produtos vencidos são apreendidos durante operação em supermercados",29/04/2024 18:51,https://g1.globo.com/to/tocantins/noticia/2024/04/29/mais-de-16-mil-produtos-vencidos-sao-apreendidos-durante-operacao-em-supermeracados.ghtml
25/03/2024,dispara,"Com aumento de 36,28%, quilo da batata dispara em supermercados de Presidente Prudente",14/06/2024 20:03,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2024/06/14/com-aumento-de-3628percent-quilo-da-batata-dispara-em-supermercados-de-presidente-prudente.ghtml
25/03/2024,estoque,Venda de arroz é limitada em supermercados mesmo com a garantia de que há estoque para toda população,09/05/2024 13:55,https://g1.globo.com/mg/minas-gerais/noticia/2024/05/09/venda-de-arroz-e-limitada-em-supermercados-governo-diz-que-nao-ha-risco-de-desabastecimento.ghtml
25/03/2024,alimento,"30 quilos de carnes, hambúrgueres, pizzas e alimentos estragados são apreendidos em supermercados de Umuarama",08/05/2024 10:36,https://g1.globo.com/pr/norte-noroeste/noticia/2024/05/08/30-quilos-de-pizzas-hamburgueres-carnes-e-alimentos-estragados-sao-apreendidos-em-supermercado-de-umuarama.ghtml
25/03/2024,dispara,"Preço da batata dispara e ajuda a inflacionar cesta básica nos supermercados de Presidente Prudente, aponta pesquisa",24/05/2024 14:29,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2024/05/24/preco-da-batata-dispara-e-ajuda-a-inflacionar-cesta-basica-nos-supermercados-de-presidente-prudente-aponta-pesquisa.ghtml
25/03/2024,logística,"Enchentes no RS causam problemas de logística, e supermercados no MS começam a racionar alimentos",10/05/2024 09:44,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2024/05/09/com-estradas-bloqueadas-por-enchentes-no-rs-supermercados-de-ms-comecam-a-racionar-arroz.ghtml
25/03/2024,limitam,Supermercados de Ribeirão Preto limitam compra de arroz por problema logístico após tragédia climática no RS,17/05/2024 19:59,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2024/05/17/supermercados-de-ribeirao-preto-limitam-compra-de-arroz-por-problema-logistico-apos-tragedia-climatica-no-rs.ghtml
25/03/2024,preço,Confeiteiras aproveitam alta do preço de ovo de Páscoa nos supermercados e ganham clientela com produtos personalizados e mais em conta,28/03/2024 09:26,https://g1.globo.com/pr/parana/economia/noticia/2024/03/28/confeiteiras-aproveitam-alta-do-preco-de-ovo-de-pascoa-nos-supermercado-e-ganham-clientela-com-produtos-personalizados-e-mais-em-conta.ghtml
